Field Number,Field Name,Description,Variable,Definition
1,uid,Unique identifier,,
2,nces_school_id,National Center for Education Statistics unique school ID,,
3,school_name,Name of school,,
4,nces_district_id,National Center for Education Statistics unique district ID,,
5,district_name,Name of school district,,
6,date,Date of shooting,,
7,school_year,School year of shooting,,
8,year,Year of shooting,,
9,time,Approximate time of shooting,,
10,day_of_week,Day of week of shooting,,
11,city,City where school is located,,
12,state,State where school is located,,
13,school_type,Type of school (public or private),,
14,enrollment,Enrollment at school at time of shooting,,
15,killed,Number killed in shooting (excludes shooter),,
16,injured,Number injured in shooting (excludes shooter),,
17,casualties,Number killed and injured in shooting (excludes shooter),,
18,shooting_type,Type of shooting,accidental,Gun discharged accidentally
,,,hostage suicide,Shooter took hostages before attempting suicide
,,,indiscriminate,Shooter fired weapon purposefully but without intended victim(s)
,,,public suicide,Shooter attempted suicide in public space
,,,targeted,Shooter fired weapon purposefully with intended victim(s)
,,,unclear,Type of shooting unknown
19,age_shooter1,Age of first shooter,,
20,gender_shooter1,Gender of first shooter,a,Asian
21,race_ethnicity_shooter1,Race or ethnicity of first shooter,ai,American Indian
,,,b,Black
,,,h,Hispanic
,,,w,White
22,shooter_relationship1,First shooter's relationship to school,,
23,shooter_deceased1,Flag indicating whether first shooter died in shooting,1,Shooter died in shooting
,,,0,Shooter did not die or shooter status unknown
24,deceased_notes1,"If first shooter deceased, how first shooter died",,
25,age_shooter2,Age of second shooter,,
26,gender_shooter2,Gender of second shooter,a,Asian
27,race_ethnicity_shooter2,Race or ethnicity of second shooter,ai,American Indian
,,,b,Black
,,,h,Hispanic
,,,w,White
,,,,
28,shooter_relationship2,Second shooter's relationship to school,,
29,shooter_deceased2,Flag indicating whether second shooter died in shooting,1,Shooter died in shooting
,,,0,Shooter did not die or shooter status unknown
30,deceased_notes2,"If second shooter deceased, how first shooter died",,
31,white,Enrollment of white students at time of shooting,,
32,black,Enrollment of black students at time of shooting,,
33,hispanic,Enrollment of Hispanic students at time of shooting,,
34,asian,Enrollment of Asian students at time of shooting,,
35,american_indian_alaska_native,Enrollment of American Indian and Alaskan native students at time of shooting,,
36,hawaiian_native_pacific_islander,Enrollment of Hawaiian native and Pacific islander students at time of shooting (unavailable prior to 2009),,
37,two_or_more,Enrollment of students of two or more races at time of shooting (unavailable prior to 2009),,
38,resource_officer,Flag indicating presence of school resource officer or security guard on school grounds at time of shooting,1,Resource officer of security guard present at school at time of shooting
,,,0,Resource officer of security guard not present at school at time of shooting or presence unknown
39,weapon,Weapon(s) used in shooting,,
40,weapon_source,Where shooter acquired weapon(s) used in shooting,,
41,lat,Latitude of school,,
42,long,Longitude of school,,
43,staffing,Full-time equivalent teachers at school at time of shooting,,
44,low_grade,Lowest grade-level offered by school,,
45,high_grade,Highest grade-level offered at time of shooting,,
46,lunch,Number of students at school eligible to receive a free or reduced-price lunch,,
47,county,County name where school is located,,
48,state_fips,Two-digit state Federal Information Processing Standards code,,
49,county_fips,Five-digit county Federal Information Processing Standards code,,
50,ulocale,National Center for Education Statistics urban-centric locale code,11,"City, Large Territory inside an urbanized area and inside a principal city with population of 250,000 or more."
,,,12,"City, Mid-size Territory inside an urbanized area and inside a principal city with a population less than 250,000 and greater than or equal to 100,000."
,,,13,"City, Small Territory inside an urbanized area and inside a principal city with a population less than 100,000."
,,,21,"Suburb, Large Territory outside a principal city and inside an urbanized area with population of 250,000 or more."
,,,22,"Suburb, Mid-size Territory outside a principal city and inside an urbanized area with a population less than 250,000 and greater than or equal to 100,000."
,,,23,"Suburb, Small Territory outside a principal city and inside an urbanized area with a population less than 100,000."
,,,31,"Town, Fringe Territory inside an urban cluster that is less than or equal to 10 miles from an urbanized area."
,,,32,"Town, Distant Territory inside an urban cluster that is more than 10 miles and less than or equal to 35 miles from an urbanized area."
,,,33,"Town, Remote Territory inside an urban cluster that is more than 35 miles from an urbanized area."
,,,41,"Rural, Fringe Census-defined rural territory that is less than or equal to 5 miles from an urbanized area, as well as rural territory that is less than or equal to 2.5 miles from an urban cluster."
,,,42,"Rural, Distant Census-defined rural territory that is more than 5 miles but less than or equal to 25 miles from an urbanized area, as well as rural territory that is more than 2.5 miles but less than or equal to 10 miles from an urban cluster."
,,,43,"Rural, Remote Census-defined rural territory that is more than 25 miles from an urbanized area and is also more than 10 miles from an urban cluster."